"","beg","end","IBI","len","durn","mean.isis","SI"
"1",5,21,NA,17,0.184399999999999,0.011525,34.4517227564515
"2",29,75,6.8481,47,0.1698,0.0036913043478261,146.120988547358
"3",87,149,10.7681,63,0.214700000000001,0.00346290322580646,200.011411726988
"4",164,185,14.51,22,0.122999999999998,0.00585714285714274,58.3494994806498
"5",187,199,2.9383,13,0.0364000000000004,0.00303333333333337,41.8592011550355
"6",202,230,3.1991,29,0.1265,0.00451785714285714,84.2421266378867
"7",235,292,10.6138,58,0.2301,0.00403684210526316,175.482182357106
"8",293,297,0.0262000000000029,5,0.0668000000000006,0.0167000000000002,8.22887321873466
"9",309,373,16.2015,65,0.212599999999995,0.00332187499999992,209.00450685821
"10",379,381,6.4622,3,0.0046999999999997,0.00234999999999985,8.42140060794001
"11",393,396,14.2978,4,0.0656999999999925,0.0218999999999975,5.67027852300096
"12",397,399,0.789699999999996,3,0.0111000000000132,0.00555000000000661,6.72175979856095
"13",402,466,1.96889999999999,65,0.239000000000004,0.00373437500000007,201.630067672848
"14",476,537,17.1593,62,0.217699999999994,0.00356885245901629,195.01542985883
"15",552,607,15.5093,56,0.185400000000016,0.00337090909090937,179.163456627955
"16",608,613,0.0305999999999926,6,0.121600000000001,0.0243200000000002,8.25956774199421
"17",624,635,15.2643,12,0.0550000000000068,0.00500000000000062,33.0992906921599
"18",637,691,3.97,55,0.254799999999989,0.00471851851851831,158.109918764065
"19",708,710,17.7842,3,0.00210000000001287,0.00105000000000643,10.0248684688507
"20",712,778,3.21379999999999,67,0.267899999999997,0.00405909090909087,202.445025230542
"21",788,798,10.9536,11,0.063999999999993,0.0063999999999993,27.8233793355551
"22",807,861,9.2097,55,0.165400000000005,0.00306296296296306,181.049496624272
"23",862,869,0.0223000000000013,8,0.226599999999991,0.0323714285714272,9.28015109452238
"24",876,924,15.4489,49,0.1952,0.00406666666666666,147.803529221231
"25",925,928,0.0241000000000042,4,0.0663999999999874,0.0221333333333291,5.64080841951987
"26",936,997,18.9694,62,0.22799999999998,0.00373770491803246,192.241088695854
"27",1003,1014,7.7852,12,0.0643000000000029,0.00584545454545481,31.4190579747591
"28",1015,1019,2.46559999999999,5,0.0554000000000201,0.013850000000005,8.93675148565902
"29",1021,1025,1.06289999999998,5,0.026600000000002,0.00665000000000049,11.7684929073257
"30",1028,1030,3.09720000000002,3,0.00469999999998549,0.00234999999999275,8.42140060794601
"31",1041,1102,6.59470000000002,62,0.195899999999995,0.00321147540983598,201.355361637785
"32",1120,1176,16.9428,57,0.225199999999973,0.00402142857142808,172.656444858692
"33",1190,1204,13.3674,15,0.141300000000001,0.0100928571428572,32.1360393474126
"34",1206,1264,3.6386,59,0.212600000000009,0.00366551724137947,184.019642156498
"35",1275,1277,16.292,3,0.0040000000000191,0.00200000000000955,8.74184237180852
"36",1278,1337,0.400499999999965,60,0.311800000000005,0.00528474576271195,165.987062223222
