"","beg","end","IBI","len","durn","mean.isis","SI"
"56",1845,1864,0.1572,20,0.0266000000000002,0.00133000000000001,1
"57",1865,1890,0.0647000000000002,26,0.0435999999999996,0.00167692307692306,1
"58",1891,1921,0.223699999999999,31,0.0168000000000017,0.000541935483871023,1
"59",1922,1930,0.109399999999999,9,0.0183,0.00203333333333333,1
"60",1931,1956,0.245699999999999,26,0.0165000000000006,0.000634615384615409,1
"61",1957,2037,0.2987,81,0.0632999999999999,0.00078148148148148,1
"62",2038,2045,0.0295000000000005,8,0.00929999999999964,0.00116249999999996,1
"63",2046,2083,0.0739000000000001,38,0.0625999999999998,0.00164736842105263,1
"64",2084,2117,0.593400000000001,34,0.0206999999999997,0.000608823529411756,1
"65",2118,2145,0.3491,28,0.0167999999999999,0.000599999999999997,1
"66",2146,2175,0.0502000000000002,30,0.0345999999999993,0.00115333333333331,1
"67",2176,2195,0.114100000000001,20,0.0224999999999991,0.00112499999999995,1
"68",2196,2214,0.251900000000001,19,0.0137999999999998,0.000726315789473674,1
"69",2215,2223,0.0305,9,0.0113000000000003,0.00125555555555559,1
"70",2224,2247,0.1069,24,0.0200999999999993,0.000837499999999972,1
"71",2248,2278,0.627900000000002,31,0.029399999999999,0.000948387096774161,1
"72",2279,2306,0.478400000000001,28,0.0162999999999975,0.000582142857142769,1
"73",2307,2323,0.195900000000002,17,0.0168999999999997,0.000994117647058805,1
"74",2324,2360,0.0261999999999993,37,0.0426000000000002,0.00115135135135136,1
"75",2361,2435,0.636600000000001,75,0.0503999999999998,0.000671999999999997,1
"76",2436,2451,0.1633,16,0.0155999999999992,0.000974999999999948,1
"77",2452,2456,0.0612999999999992,5,0.00710000000000122,0.00142000000000024,1
"78",2457,2484,0.165600000000001,28,0.0254999999999974,0.000910714285714193,1
"79",2485,2530,0.336200000000002,46,0.0305,0.000663043478260869,1
"80",2531,2538,0.0686999999999998,8,0.0106000000000002,0.00132500000000002,1
"81",2539,2565,0.202200000000001,27,0.0205999999999982,0.000762962962962895,1
"82",2566,2589,0.232099999999999,24,0.0158000000000023,0.000658333333333427,1
"83",2590,2610,0.242699999999999,21,0.0153999999999996,0.000733333333333316,1
"84",2611,2613,0.0285000000000011,3,0.00339999999999918,0.00113333333333306,1
"85",2614,2632,0.145499999999998,19,0.0171000000000028,0.000900000000000146,1
"86",2633,2847,0.0323999999999991,215,0.2013,0.000936279069767441,1
"87",2849,2953,0.382100000000001,105,0.0738999999999983,0.000703809523809508,1
"88",2954,2975,0.043099999999999,22,0.0237000000000016,0.0010772727272728,1
"89",2976,3020,0.1431,45,0.0303000000000004,0.000673333333333343,1
"90",3021,3027,0.0752999999999986,7,0.00710000000000122,0.00101428571428589,1
"91",3028,3069,0.0984999999999978,42,0.0391000000000012,0.000930952380952411,1
"92",3070,3092,0.196100000000001,23,0.0145999999999979,0.000634782608695563,1
"93",3094,3210,0.364799999999999,117,0.115400000000001,0.000986324786324795,1
"94",3211,3270,0.6477,60,0.0337999999999994,0.000563333333333323,1
"95",3271,3288,0.309100000000001,18,0.0173999999999985,0.000966666666666585,1
"96",3289,3328,0.3446,40,0.0301000000000009,0.000752500000000023,1
"97",3329,3359,0.608900000000002,31,0.0214999999999996,0.000693548387096762,1
"98",3361,3385,0.165699999999998,25,0.0335000000000001,0.00134,1
"99",3386,3425,0.072300000000002,40,0.0287000000000006,0.000717500000000015,1
"100",3426,3453,0.461600000000001,28,0.0241999999999969,0.000864285714285603,1
"101",3454,3476,0.142900000000001,23,0.0287000000000006,0.00124782608695655,1
"102",3477,3496,0.291499999999999,20,0.0183999999999997,0.000919999999999987,1
"103",3497,3506,0.0838999999999999,10,0.0215999999999994,0.00215999999999994,1
"104",3508,3538,0.0359000000000016,31,0.0297000000000018,0.000958064516129092,1
"105",3540,3547,0.104699999999998,8,0.00830000000000197,0.00103750000000025,1
"106",3548,3582,0.4285,35,0.0169999999999995,0.00048571428571427,1
"107",3583,3595,0.0682000000000009,13,0.016099999999998,0.00123846153846139,1
"108",3596,3615,0.0725000000000016,20,0.0180000000000007,0.000900000000000034,1
"109",3616,3632,0.159399999999998,17,0.0130000000000017,0.00076470588235304,1
"110",3633,3653,0.0573999999999977,21,0.0317000000000007,0.00150952380952384,1
"111",3654,3672,0.165900000000001,19,0.0174999999999983,0.000921052631578858,1
"112",3673,3692,0.280100000000001,20,0.0150000000000006,0.000750000000000028,1
"113",3693,3700,0.0378000000000007,8,0.0146999999999977,0.00183749999999971,1
"114",3701,3727,0.143700000000003,27,0.0244,0.000903703703703703,1
"115",3728,3744,0.258900000000001,17,0.0213000000000001,0.00125294117647059,1
"116",3745,3764,0.0337999999999994,20,0.0166000000000004,0.00083000000000002,1
"117",3765,3776,0.120199999999997,12,0.0124000000000031,0.00103333333333359,1
"118",3777,3797,0.145999999999997,21,0.0212000000000003,0.00100952380952383,1
"119",3798,3866,0.659700000000001,69,0.0508999999999986,0.00073768115942027,1
"120",3867,3884,0.146800000000002,18,0.0228000000000002,0.00126666666666668,1
"121",3885,3932,0.2014,48,0.0274999999999999,0.000572916666666664,1
"122",3933,3959,0.309000000000001,27,0.0200999999999993,0.00074444444444442,1
