"","beg","end","IBI","len","durn","mean.isis","SI"
"38",1210,1249,2.477,40,0.26509999999999,0.00679743589743563,1
"39",1250,1283,2.72110000000001,34,0.383399999999995,0.0116181818181817,1
"40",1284,1314,1.83760000000001,31,0.265500000000003,0.0088500000000001,1
"41",1315,1346,2.3557,32,0.269499999999994,0.00869354838709657,1
"42",1347,1373,2.1276,27,0.150800000000004,0.00580000000000015,1
"43",1374,1404,3.3613,31,0.370099999999994,0.0123366666666665,1
"44",1406,1442,3.27119999999999,37,0.397600000000011,0.0110444444444448,1
"45",1443,1485,3.1918,43,0.294099999999986,0.00700238095238062,1
"46",1486,1522,3.7107,37,0.229399999999998,0.00637222222222217,1
"47",1523,1562,2.91200000000001,40,0.479800000000012,0.0123025641025644,1
"48",1563,1576,0.98429999999999,14,0.124099999999999,0.00954615384615373,1
"49",1577,1619,4.387,43,0.299599999999998,0.00713333333333329,1
"50",1620,1627,0.924800000000005,8,0.0818999999999903,0.0116999999999986,1
"51",1628,1662,3.28640000000001,35,0.34899999999999,0.0102647058823526,1
"52",1663,1694,2.9255,32,0.255899999999997,0.00825483870967732,1
"53",1695,1727,3.0188,33,0.443900000000014,0.0138718750000004,1
"54",1728,1761,2.21039999999999,34,0.257800000000003,0.00781212121212131,1
"55",1762,1802,2.5403,41,0.233399999999989,0.00583499999999972,1
"56",1803,1839,3.834,37,0.295900000000017,0.00821944444444493,1
"57",1840,1879,4.19989999999999,40,0.381500000000017,0.00978205128205171,1
"58",1880,1919,2.97529999999998,40,0.403500000000008,0.0103461538461541,1
"59",1920,1963,3.66570000000002,44,0.451299999999975,0.0104953488372087,1
"60",1964,1999,3.20930000000001,36,0.2851,0.00814571428571428,1
"61",2000,2044,2.70420000000001,45,0.342699999999979,0.00778863636363589,1
"62",2045,2080,3.37440000000001,36,0.382800000000003,0.0109371428571429,1
"63",2081,2108,1.78829999999999,28,0.29249999999999,0.010833333333333,1
"64",2109,2147,2.55380000000002,39,0.190399999999983,0.00501052631578902,1
"65",2148,2194,4.15200000000002,47,0.37439999999998,0.00813913043478218,1
"66",2195,2227,2.78550000000001,33,0.274000000000001,0.00856250000000003,1
"67",2228,2250,1.77199999999999,23,0.247100000000017,0.011231818181819,1
"68",2251,2288,2.2791,38,0.320099999999996,0.00865135135135126,1
"69",2289,2322,2.84269999999998,34,0.453000000000003,0.0137272727272728,1
"70",2323,2355,3.3081,33,0.253500000000003,0.00792187500000008,1
"71",2356,2363,0.647400000000005,8,0.0260000000000105,0.00371428571428721,1
"72",2364,2393,1.8449,30,0.198599999999999,0.00684827586206893,1
"73",2394,2431,2.72929999999999,38,0.30540000000002,0.0082540540540546,1
"74",2432,2440,0.775999999999982,9,0.0260000000000105,0.00325000000000131,1
"75",2441,2478,3.35329999999999,38,0.335700000000003,0.00907297297297305,1
"76",2479,2517,2.81370000000001,39,0.288699999999977,0.00759736842105203,1
"77",2518,2549,3.48180000000002,32,0.281399999999991,0.00907741935483841,1
"78",2551,2591,3.27070000000001,41,0.413999999999987,0.0103499999999997,1
"79",2592,2595,0.437100000000015,4,0.0113999999999805,0.00379999999999351,1
"80",2596,2635,3.62110000000001,40,0.520399999999995,0.0133435897435896,1
"81",2636,2668,2.2533,33,0.282700000000006,0.00883437500000017,1
"82",2669,2694,1.5035,26,0.240000000000009,0.00960000000000036,1
"83",2695,2736,4.05349999999999,42,0.369400000000013,0.00900975609756129,1
"84",2737,2779,2.72749999999999,43,0.336000000000013,0.0080000000000003,1
"85",2780,2826,4.67409999999998,47,0.495100000000008,0.010763043478261,1
"86",2827,2861,3.51920000000001,35,0.263300000000015,0.00774411764705927,1
"87",2862,2890,1.83679999999998,29,0.152600000000007,0.00545000000000024,1
"88",2891,2931,2.3109,41,0.468999999999994,0.0117249999999999,1
"89",2932,2973,2.75,42,0.505499999999984,0.0123292682926825,1
"90",2974,2999,1.90730000000002,26,0.197099999999978,0.00788399999999911,1
"91",3000,3041,3.61990000000003,42,0.475499999999954,0.0115975609756086,1
"92",3042,3084,2.70550000000003,43,0.387699999999995,0.00923095238095227,1
"93",3085,3113,3.25380000000001,29,0.258699999999976,0.00923928571428486,1
"94",3114,3151,4.39580000000001,38,0.509700000000009,0.0137756756756759,1
"95",3152,3191,2.17699999999996,40,0.335700000000031,0.00860769230769311,1
"96",3192,3216,1.62860000000001,25,0.226299999999981,0.00942916666666586,1
"97",3217,3242,2.10739999999998,26,0.197400000000016,0.00789600000000064,1
"98",3243,3275,2.33019999999999,33,0.290700000000015,0.00908437500000048,1
"99",3276,3304,2.71190000000001,29,0.363900000000001,0.0129964285714286,1
"100",3305,3345,2.70839999999998,41,0.34190000000001,0.00854750000000024,1
